 , , , , , ,Totals:," $171,331.39 ",685.32556
MSFT,6/26/2020 12:45,502,197.6,sell,currentHigh*0.97: 192.6517, , $(185.74),-0.19%
MSFT,6/29/2020 8:30,503,197.3,buy,currentHigh*0.97: 191.52649999999997, , nan ,nan
MSFT,7/7/2020 10:00,503,212.96,sell,currentHigh*0.97: 207.9777, ," $7,876.98 ",7.94%
MSFT,7/8/2020 6:45,506,211.7,buy,currentHigh*0.97: 206.0862, , nan ,nan
MSFT,7/8/2020 8:15,506,210.47,sell,currentHigh*0.97: 206.0862, , $(622.38),-0.58%
MSFT,7/8/2020 12:00,501,212.45,buy,currentHigh*0.97: 206.7167, , nan ,nan
MSFT,7/9/2020 7:30,501,214.46,sell,currentHigh*0.97: 209.1514, ," $1,007.01 ",0.95%
MSFT,7/13/2020 6:30,501,214.47,buy,currentHigh*0.97: 208.3075, , nan ,nan
MSFT,7/13/2020 11:00,501,214.01,sell,currentHigh*0.97: 208.9768, , $(230.46),-0.21%
MSFT,7/14/2020 6:45,516,208.02,buy,currentHigh*0.97: 197.88, , nan ,nan
MSFT,7/15/2020 8:00,516,209.24,sell,currentHigh*0.97: 204.961, , $629.52 ,0.59%
MSFT,7/20/2020 6:30,526,205,buy,currentHigh*0.97: 197.6763, , nan ,nan
MSFT,7/21/2020 8:30,526,210.4,sell,currentHigh*0.97: 205.5139, ," $2,840.40 ",2.63%
MSFT,7/21/2020 11:15,523,211.61,buy,currentHigh*0.97: 204.95129999999997, , nan ,nan
MSFT,7/21/2020 12:45,523,209.24,sell,currentHigh*0.97: 204.95129999999997, ," $(1,239.51)",-1.12%
MSFT,7/22/2020 9:15,518,211.53,buy,currentHigh*0.97: 204.8155, , nan ,nan
MSFT,7/23/2020 7:00,518,209.63,sell,currentHigh*0.97: 205.3975, , $(984.20),-0.90%
MSFT,7/24/2020 7:30,539,201.42,buy,currentHigh*0.97: 194.4656, , nan ,nan
MSFT,7/24/2020 10:00,539,201.01,sell,currentHigh*0.97: 196.6384, , $(220.99),-0.20%
MSFT,7/27/2020 11:30,532,203.38,buy,currentHigh*0.97: 196.95850000000002, , nan ,nan
MSFT,7/28/2020 12:45,532,202.48,sell,currentHigh*0.97: 198.30679999999998, , $(478.80),-0.44%
MSFT,7/30/2020 8:45,532,202.58,buy,currentHigh*0.97: 196.7936, , nan ,nan
MSFT,7/31/2020 6:45,532,202.41,sell,currentHigh*0.97: 198.1807, , $(90.44),-0.08%
MSFT,7/31/2020 12:00,532,202.59,buy,currentHigh*0.97: 197.7248, , nan ,nan
MSFT,8/3/2020 7:00,532,212.97,sell,currentHigh*0.97: 208.5306, ," $5,522.16 ",5.12%
MSFT,8/3/2020 11:00,527,214.98,buy,currentHigh*0.97: 209.17079999999999, , nan ,nan
MSFT,8/4/2020 6:30,527,214.24,sell,currentHigh*0.97: 210.34449999999998, , $(389.98),-0.34%
MSFT,8/5/2020 6:30,525,214.89,buy,currentHigh*0.97: 206.28019999999998, , nan ,nan
MSFT,8/7/2020 8:15,525,214.93,sell,currentHigh*0.97: 209.8595, , $21.00 ,0.02%
MSFT,8/11/2020 9:30,545,207.14,buy,currentHigh*0.97: 201.275, , nan ,nan
MSFT,8/11/2020 12:15,545,205.55,sell,currentHigh*0.97: 201.275, , $(866.55),-0.77%
MSFT,8/12/2020 7:00,541,207.13,buy,currentHigh*0.97: 200.9161, , nan ,nan
MSFT,8/13/2020 11:00,541,209.84,sell,currentHigh*0.97: 204.7864, ," $1,466.11 ",1.31%
MSFT,8/18/2020 6:45,537,211.44,buy,currentHigh*0.97: 204.3014, , nan ,nan
MSFT,8/19/2020 12:45,537,210.38,sell,currentHigh*0.97: 205.6885, , $(569.22),-0.50%
MSFT,8/20/2020 9:15,532,212.2,buy,currentHigh*0.97: 205.4848, , nan ,nan
MSFT,8/21/2020 8:45,532,213.89,sell,currentHigh*0.97: 209.4521, , $899.08 ,0.80%
MSFT,8/25/2020 7:45,527,215.78,buy,currentHigh*0.97: 209.34539999999998, , nan ,nan
MSFT,8/26/2020 10:00,527,220.09,sell,currentHigh*0.97: 215.3691, ," $2,271.37 ",2.00%
MSFT,8/27/2020 6:30,520,223.05,buy,currentHigh*0.97: 215.7862, , nan ,nan
MSFT,8/27/2020 9:15,520,228.45,sell,currentHigh*0.97: 223.19699999999997, ," $2,808.00 ",2.42%
MSFT,8/27/2020 11:15,521,228.2,buy,currentHigh*0.97: 221.6062, , nan ,nan
MSFT,8/28/2020 10:00,521,228.51,sell,currentHigh*0.97: 223.02239999999998, , $161.51 ,0.14%
MSFT,9/2/2020 6:30,522,227.91,buy,currentHigh*0.97: 223.5365, , nan ,nan
MSFT,9/2/2020 8:45,522,229,sell,currentHigh*0.97: 224.3998, , $568.98 ,0.48%
MSFT,9/2/2020 10:30,515,232.36,buy,currentHigh*0.97: 225.40859999999998, , nan ,nan
MSFT,9/3/2020 6:30,515,229.27,sell,currentHigh*0.97: 225.65109999999999, ," $(1,591.35)",-1.33%
MSFT,9/4/2020 8:15,565,208.97,buy,currentHigh*0.97: 201.9152, , nan ,nan
MSFT,9/4/2020 12:30,565,217.76,sell,currentHigh*0.97: 211.22719999999998, ," $4,966.35 ",4.21%
MSFT,9/8/2020 7:15,588,209.19,buy,currentHigh*0.97: 202.7688, , nan ,nan
MSFT,9/8/2020 8:15,588,207.59,sell,currentHigh*0.97: 202.7688, , $(940.80),-0.76%
MSFT,9/9/2020 6:30,588,207.6,buy,currentHigh*0.97: 201.663, , nan ,nan
MSFT,9/9/2020 12:30,588,214.64,sell,currentHigh*0.97: 208.2105, ," $4,139.52 ",3.39%
MSFT,9/11/2020 6:30,608,207.4,buy,currentHigh*0.97: 199.9655, , nan ,nan
MSFT,9/11/2020 8:30,608,206.37,sell,currentHigh*0.97: 201.7309, , $(626.24),-0.50%
MSFT,9/11/2020 12:30,614,204.36,buy,currentHigh*0.97: 197.97699999999998, , nan ,nan
MSFT,9/14/2020 10:00,614,206.94,sell,currentHigh*0.97: 202.633, ," $1,584.12 ",1.26%
MSFT,9/15/2020 6:30,610,208.42,buy,currentHigh*0.97: 202.12859999999998, , nan ,nan
MSFT,9/15/2020 7:30,610,208.12,sell,currentHigh*0.97: 203.19559999999998, , $(183.00),-0.14%
MSFT,9/16/2020 6:30,603,210.61,buy,currentHigh*0.97: 202.3323, , nan ,nan
MSFT,9/16/2020 12:00,603,207.13,sell,currentHigh*0.97: 202.4778, ," $(2,098.44)",-1.65%
MSFT,9/17/2020 7:00,615,203.11,buy,currentHigh*0.97: 197.5114, , nan ,nan
MSFT,9/17/2020 8:45,615,202.19,sell,currentHigh*0.97: 197.7054, , $(565.80),-0.45%
MSFT,9/18/2020 12:15,623,199.49,buy,currentHigh*0.97: 194.2716, , nan ,nan
MSFT,9/21/2020 6:30,623,196.81,sell,currentHigh*0.97: 194.291, ," $(1,669.64)",-1.34%
MSFT,9/21/2020 9:30,613,199.96,buy,currentHigh*0.97: 193.8254, , nan ,nan
MSFT,9/23/2020 7:00,613,205.53,sell,currentHigh*0.97: 201.1974, ," $3,414.41 ",2.79%
MSFT,9/24/2020 7:00,623,202.42,buy,currentHigh*0.97: 197.7248, , nan ,nan
MSFT,9/24/2020 11:15,623,204.31,sell,currentHigh*0.97: 199.19920000000002, ," $1,177.47 ",0.93%
MSFT,9/25/2020 7:30,620,205.03,buy,currentHigh*0.97: 199.0634, , nan ,nan
MSFT,9/28/2020 7:30,620,209.72,sell,currentHigh*0.97: 204.8252, ," $2,907.80 ",2.29%
MSFT,9/30/2020 8:15,619,210.13,buy,currentHigh*0.97: 204.9319, , nan ,nan
MSFT,9/30/2020 12:15,619,210.01,sell,currentHigh*0.97: 205.446, , $(74.28),-0.06%
MSFT,10/1/2020 6:30,610,213.26,buy,currentHigh*0.97: 206.1444, , nan ,nan
MSFT,10/2/2020 6:30,610,208,sell,currentHigh*0.97: 206.9495, ," $(3,208.60)",-2.47%
MSFT,10/5/2020 7:15,607,209.05,buy,currentHigh*0.97: 202.40019999999998, , nan ,nan
MSFT,10/6/2020 8:15,607,208.53,sell,currentHigh*0.97: 204.0589, , $(315.64),-0.25%
MSFT,10/7/2020 7:00,609,207.9,buy,currentHigh*0.97: 200.71239999999997, , nan ,nan
MSFT,10/12/2020 12:45,609,221.86,sell,currentHigh*0.97: 217.1248, ," $8,501.64 ",6.71%
MSFT,10/13/2020 8:30,603,223.81,buy,currentHigh*0.97: 217.5322, , nan ,nan
MSFT,10/14/2020 7:15,603,222.65,sell,currentHigh*0.97: 218.0366, , $(699.48),-0.52%
MSFT,10/15/2020 11:15,612,219.3,buy,currentHigh*0.97: 212.6919, , nan ,nan
MSFT,10/16/2020 12:45,612,220.31,sell,currentHigh*0.97: 215.2818, , $618.12 ,0.46%
MSFT,10/20/2020 7:15,621,217.19,buy,currentHigh*0.97: 209.51999999999998, , nan ,nan
MSFT,10/20/2020 12:45,621,215.59,sell,currentHigh*0.97: 210.4124, , $(993.60),-0.74%
MSFT,10/21/2020 11:30,619,216.33,buy,currentHigh*0.97: 210.005, , nan ,nan
MSFT,10/22/2020 6:45,619,215.31,sell,currentHigh*0.97: 210.3639, , $(631.38),-0.47%
MSFT,10/22/2020 11:00,620,214.91,buy,currentHigh*0.97: 208.5306, , nan ,nan
MSFT,10/26/2020 7:45,620,214.16,sell,currentHigh*0.97: 209.7722, , $(465.00),-0.35%
MSFT,10/27/2020 6:30,628,211.62,buy,currentHigh*0.97: 205.5236, , nan ,nan
MSFT,10/28/2020 6:30,628,207.6,sell,currentHigh*0.97: 208.16199999999998, ," $(2,524.56)",-1.90%
MSFT,10/29/2020 7:30,635,205.22,buy,currentHigh*0.97: 198.7045, , nan ,nan
MSFT,10/29/2020 12:45,635,206.08,sell,currentHigh*0.97: 201.0228, , $546.10 ,0.42%
MSFT,11/2/2020 6:30,641,204.27,buy,currentHigh*0.97: 198.5784, , nan ,nan
MSFT,11/2/2020 8:00,641,203.07,sell,currentHigh*0.97: 198.5784, , $(769.20),-0.59%
MSFT,11/3/2020 6:30,639,203.7,buy,currentHigh*0.97: 197.7054, , nan ,nan
MSFT,11/3/2020 10:45,639,206.56,sell,currentHigh*0.97: 201.6436, ," $1,827.54 ",1.40%
MSFT,11/4/2020 6:30,616,214.02,buy,currentHigh*0.97: 207.2405, , nan ,nan
MSFT,11/6/2020 6:30,616,222.11,sell,currentHigh*0.97: 217.3285, ," $4,983.44 ",3.78%
MSFT,11/6/2020 8:15,617,221.71,buy,currentHigh*0.97: 215.8056, , nan ,nan
MSFT,11/9/2020 9:00,617,224.91,sell,currentHigh*0.97: 219.95719999999997, ," $1,974.40 ",1.44%
MSFT,11/11/2020 6:45,645,215.25,buy,currentHigh*0.97: 208.9089, , nan ,nan
MSFT,11/12/2020 8:30,645,217.32,sell,currentHigh*0.97: 212.1875, ," $1,335.15 ",0.96%
MSFT,11/16/2020 8:15,645,217.39,buy,currentHigh*0.97: 210.5385, , nan ,nan
MSFT,11/17/2020 11:45,645,215.63,sell,currentHigh*0.97: 210.7907, ," $(1,135.20)",-0.81%
MSFT,11/24/2020 8:15,657,211.64,buy,currentHigh*0.97: 205.7079, , nan ,nan
MSFT,11/30/2020 6:30,657,214.16,sell,currentHigh*0.97: 209.617, ," $1,655.64 ",1.19%
MSFT,12/1/2020 6:30,656,214.5,buy,currentHigh*0.97: 207.60909999999998, , nan ,nan
MSFT,12/2/2020 6:30,656,214.89,sell,currentHigh*0.97: 210.6743, , $255.84 ,0.18%
MSFT,12/3/2020 7:15,652,216.09,buy,currentHigh*0.97: 209.07379999999998, , nan ,nan
MSFT,12/4/2020 11:00,652,213.51,sell,currentHigh*0.97: 209.07379999999998, ," $(1,682.16)",-1.19%
MSFT,12/8/2020 9:30,644,216.27,buy,currentHigh*0.97: 209.6073, , nan ,nan
MSFT,12/9/2020 6:30,644,215.22,sell,currentHigh*0.97: 210.3833, , $(676.20),-0.49%
MSFT,12/11/2020 10:45,653,212.31,buy,currentHigh*0.97: 206.0668, , nan ,nan
MSFT,12/15/2020 6:30,653,215.17,sell,currentHigh*0.97: 209.6655, ," $1,867.58 ",1.35%
MSFT,12/16/2020 6:45,652,215.58,buy,currentHigh*0.97: 209.5006, , nan ,nan
MSFT,12/18/2020 7:00,652,218.17,sell,currentHigh*0.97: 213.5649, ," $1,688.68 ",1.20%
MSFT,12/21/2020 8:30,648,219.39,buy,currentHigh*0.97: 213.26420000000002, , nan ,nan
MSFT,12/23/2020 6:30,648,223.12,sell,currentHigh*0.97: 218.541, ," $2,417.04 ",1.70%
MSFT,12/28/2020 6:30,644,224.45,buy,currentHigh*0.97: 216.9405, , nan ,nan
MSFT,12/29/2020 9:30,644,224.59,sell,currentHigh*0.97: 219.95719999999997, , $90.16 ,0.06%
MSFT,1/5/2021 6:45,663,218.1,buy,currentHigh*0.97: 211.2078, , nan ,nan
MSFT,1/6/2021 6:30,663,212.18,sell,currentHigh*0.97: 211.4697, ," $(3,924.96)",-2.71%
MSFT,1/6/2021 7:45,653,215.64,buy,currentHigh*0.97: 208.6761, , nan ,nan
MSFT,1/6/2021 12:15,653,214.09,sell,currentHigh*0.97: 209.5879, ," $(1,012.15)",-0.72%
MSFT,1/7/2021 6:45,646,216.24,buy,currentHigh*0.97: 210.40269999999998, , nan ,nan
MSFT,1/8/2021 8:30,646,218.03,sell,currentHigh*0.97: 213.55519999999999, ," $1,156.34 ",0.83%
MSFT,1/13/2021 12:45,650,216.69,buy,currentHigh*0.97: 209.9177, , nan ,nan
MSFT,1/14/2021 9:30,650,214.51,sell,currentHigh*0.97: 209.9177, ," $(1,417.00)",-1.01%
MSFT,1/19/2021 10:15,648,215.36,buy,currentHigh*0.97: 208.8701, , nan ,nan
MSFT,1/21/2021 6:30,648,224.76,sell,currentHigh*0.97: 218.70589999999999, ," $6,091.20 ",4.36%
MSFT,1/21/2021 9:45,645,225.77,buy,currentHigh*0.97: 219.4237, , nan ,nan
MSFT,1/22/2021 10:30,645,227.47,sell,currentHigh*0.97: 222.8575, ," $1,096.50 ",0.75%
MSFT,1/25/2021 6:30,640,229.19,buy,currentHigh*0.97: 221.28609999999998, , nan ,nan
MSFT,1/25/2021 7:45,640,228.47,sell,currentHigh*0.97: 221.7129, , $(460.80),-0.31%
MSFT,1/25/2021 10:00,642,227.6,buy,currentHigh*0.97: 221.1891, , nan ,nan
MSFT,1/27/2021 8:15,642,238.76,sell,currentHigh*0.97: 232.8388, ," $7,164.72 ",4.90%
MSFT,1/28/2021 6:30,651,235.57,buy,currentHigh*0.97: 229.94819999999999, , nan ,nan
MSFT,1/28/2021 12:15,651,240.8,sell,currentHigh*0.97: 235.1862, ," $3,404.73 ",2.22%
MSFT,1/29/2021 7:30,659,237.79,buy,currentHigh*0.97: 228.9491, , nan ,nan
MSFT,1/29/2021 8:15,659,235.09,sell,currentHigh*0.97: 230.0355, ," $(1,779.30)",-1.14%
MSFT,2/1/2021 6:30,659,235.09,buy,currentHigh*0.97: 227.0576, , nan ,nan
MSFT,2/1/2021 12:45,659,240.16,sell,currentHigh*0.97: 235.1959, ," $3,341.13 ",2.16%
MSFT,2/3/2021 7:00,653,242.56,buy,currentHigh*0.97: 234.2841, , nan ,nan
MSFT,2/4/2021 6:30,653,242.75,sell,currentHigh*0.97: 237.3687, , $124.07 ,0.08%
MSFT,2/9/2021 7:15,648,244.71,buy,currentHigh*0.97: 236.6897, , nan ,nan
MSFT,2/10/2021 7:30,648,242.56,sell,currentHigh*0.97: 237.5724, ," $(1,393.20)",-0.88%
MSFT,2/11/2021 6:30,642,244.52,buy,currentHigh*0.97: 236.53449999999998, , nan ,nan
MSFT,2/17/2021 6:30,642,241.32,sell,currentHigh*0.97: 237.7082, ," $(2,054.40)",-1.31%
MSFT,2/23/2021 7:30,666,232.73,buy,currentHigh*0.97: 225.38920000000002, , nan ,nan
MSFT,2/23/2021 9:30,666,232.29,sell,currentHigh*0.97: 225.99059999999997, , $(293.04),-0.19%
MSFT,2/23/2021 12:15,662,233.86,buy,currentHigh*0.97: 227.6881, , nan ,nan
MSFT,2/24/2021 6:30,662,230.01,sell,currentHigh*0.97: 227.6881, ," $(2,548.70)",-1.65%
MSFT,2/24/2021 9:45,654,232.77,buy,currentHigh*0.97: 226.0294, , nan ,nan
MSFT,2/25/2021 7:30,654,232.83,sell,currentHigh*0.97: 227.7269, , $39.24 ,0.03%
MSFT,2/25/2021 11:30,656,232.05,buy,currentHigh*0.97: 224.02149999999997, , nan ,nan
MSFT,2/26/2021 12:45,656,234.11,sell,currentHigh*0.97: 227.9791, ," $1,351.36 ",0.89%
MSFT,3/1/2021 6:30,651,235.9,buy,currentHigh*0.97: 227.17399999999998, , nan ,nan
MSFT,3/2/2021 6:45,651,235.19,sell,currentHigh*0.97: 230.14219999999997, , $(462.21),-0.30%
MSFT,3/4/2021 7:45,666,229.89,buy,currentHigh*0.97: 223.9245, , nan ,nan
MSFT,3/4/2021 9:15,666,230.12,sell,currentHigh*0.97: 224.846, , $153.18 ,0.10%
MSFT,3/5/2021 6:30,668,229.57,buy,currentHigh*0.97: 221.7905, , nan ,nan
MSFT,3/8/2021 6:30,668,231.42,sell,currentHigh*0.97: 226.0294, ," $1,235.80 ",0.81%
MSFT,3/9/2021 6:30,663,232.88,buy,currentHigh*0.97: 225.4862, , nan ,nan
MSFT,3/10/2021 10:15,663,234.4,sell,currentHigh*0.97: 229.0364, ," $1,007.76 ",0.65%
MSFT,3/11/2021 7:15,660,235.55,buy,currentHigh*0.97: 228.6678, , nan ,nan
MSFT,3/12/2021 6:30,660,234.07,sell,currentHigh*0.97: 231.72329999999997, , $(976.80),-0.63%
MSFT,3/16/2021 6:30,654,236.3,buy,currentHigh*0.97: 229.9288, , nan ,nan
MSFT,3/16/2021 11:15,654,237.96,sell,currentHigh*0.97: 232.5769, ," $1,085.64 ",0.70%
MSFT,3/17/2021 11:45,655,237.74,buy,currentHigh*0.97: 230.8018, , nan ,nan
MSFT,3/18/2021 6:30,655,232.35,sell,currentHigh*0.97: 230.8018, ," $(3,530.45)",-2.27%
MSFT,3/22/2021 7:00,651,233.62,buy,currentHigh*0.97: 226.9897, , nan ,nan
MSFT,3/23/2021 12:15,651,238.67,sell,currentHigh*0.97: 233.4887, ," $3,287.55 ",2.16%
MSFT,3/26/2021 10:15,661,235.23,buy,currentHigh*0.97: 228.2992, , nan ,nan
MSFT,3/29/2021 6:45,661,234.68,sell,currentHigh*0.97: 229.38559999999998, , $(363.55),-0.23%
MSFT,3/31/2021 7:15,661,234.65,buy,currentHigh*0.97: 227.7754, , nan ,nan
MSFT,3/31/2021 12:45,661,236.9,sell,currentHigh*0.97: 231.0152, ," $1,487.25 ",0.96%
MSFT,4/1/2021 6:45,653,239.76,buy,currentHigh*0.97: 234.17739999999998, , nan ,nan
MSFT,4/14/2021 10:45,653,256.46,sell,currentHigh*0.97: 251.13299999999998, ," $10,905.10 ",6.97%
MSFT,4/15/2021 6:45,646,259.16,buy,currentHigh*0.97: 250.77409999999998, , nan ,nan
MSFT,4/20/2021 8:15,646,258.15,sell,currentHigh*0.97: 252.94689999999997, , $(652.46),-0.39%
MSFT,4/22/2021 6:45,638,261.23,buy,currentHigh*0.97: 252.4425, , nan ,nan
MSFT,4/22/2021 10:15,638,259.53,sell,currentHigh*0.97: 253.5774, ," $(1,084.60)",-0.65%
MSFT,4/23/2021 8:00,638,259.82,buy,currentHigh*0.97: 252.2, , nan ,nan
MSFT,4/28/2021 6:30,638,256.08,sell,currentHigh*0.97: 255.0324, ," $(2,386.12)",-1.44%
MSFT,4/30/2021 7:30,646,252.8,buy,currentHigh*0.97: 244.7116, , nan ,nan
MSFT,5/3/2021 10:15,646,252.13,sell,currentHigh*0.97: 246.2151, , $(432.82),-0.27%
MSFT,5/6/2021 12:45,655,248.45,buy,currentHigh*0.97: 242.23809999999997, , nan ,nan
MSFT,5/10/2021 6:30,655,250.87,sell,currentHigh*0.97: 246.6128, ," $1,585.10 ",0.97%
MSFT,5/11/2021 8:30,667,246.39,buy,currentHigh*0.97: 238.32899999999998, , nan ,nan
MSFT,5/12/2021 6:30,667,242.15,sell,currentHigh*0.97: 238.8431, ," $(2,828.08)",-1.72%
MSFT,5/13/2021 6:30,668,241.86,buy,currentHigh*0.97: 235.3317, , nan ,nan
MSFT,5/13/2021 8:30,668,243.72,sell,currentHigh*0.97: 237.8246, ," $1,242.48 ",0.77%
MSFT,5/14/2021 6:30,663,245.54,buy,currentHigh*0.97: 239.42510000000001, , nan ,nan
MSFT,5/17/2021 6:30,663,246.6,sell,currentHigh*0.97: 241.53, , $702.78 ,0.43%
MSFT,5/19/2021 10:15,675,242.46,buy,currentHigh*0.97: 235.0504, , nan ,nan
MSFT,5/27/2021 12:45,675,250.03,sell,currentHigh*0.97: 244.36239999999998, ," $5,109.75 ",3.12%
MSFT,6/4/2021 6:30,681,247.77,buy,currentHigh*0.97: 241.5785, , nan ,nan
MSFT,6/8/2021 8:45,681,253.55,sell,currentHigh*0.97: 248.0096, ," $3,936.18 ",2.33%
MSFT,6/10/2021 8:45,673,256.45,buy,currentHigh*0.97: 249.07659999999996, , nan ,nan
MSFT,6/16/2021 11:00,673,258.52,sell,currentHigh*0.97: 252.75289999999998, ," $1,393.11 ",0.81%
MSFT,6/17/2021 7:30,673,258.43,buy,currentHigh*0.97: 251.31729999999996, , nan ,nan
MSFT,6/25/2021 9:45,673,265.26,sell,currentHigh*0.97: 259.7854, ," $4,596.59 ",2.64%
MSFT,6/29/2021 6:30,664,268.88,buy,currentHigh*0.97: 261.14340000000004, , nan ,nan
MSFT,7/6/2021 9:30,664,276.5,sell,currentHigh*0.97: 270.8725, ," $5,059.68 ",2.83%
MSFT,7/7/2021 6:30,657,279.4,buy,currentHigh*0.97: 270.8628, , nan ,nan
MSFT,7/8/2021 6:30,657,276.82,sell,currentHigh*0.97: 272.0656, ," $(1,695.06)",-0.92%
MSFT,7/13/2021 6:45,652,279.09,buy,currentHigh*0.97: 272.0462, , nan ,nan
MSFT,7/15/2021 9:00,652,280.75,sell,currentHigh*0.97: 274.71369999999996, ," $1,082.32 ",0.59%
MSFT,7/20/2021 8:45,657,278.57,buy,currentHigh*0.97: 270.3972, , nan ,nan
MSFT,7/26/2021 7:15,657,287.34,sell,currentHigh*0.97: 281.0381, ," $5,761.89 ",3.15%
MSFT,7/28/2021 6:30,653,288.99,buy,currentHigh*0.97: 277.2066, , nan ,nan
MSFT,7/28/2021 9:30,653,287.11,sell,currentHigh*0.97: 280.7471, ," $(1,227.64)",-0.65%
MSFT,8/5/2021 7:15,651,288,buy,currentHigh*0.97: 279.554, , nan ,nan
MSFT,8/10/2021 7:30,651,287.99,sell,currentHigh*0.97: 280.8635, , $(6.51),0.00%
MSFT,8/12/2021 8:00,648,289.5,buy,currentHigh*0.97: 280.4658, , nan ,nan
MSFT,8/16/2021 7:15,648,291.83,sell,currentHigh*0.97: 285.2867, ," $1,509.84 ",0.80%
MSFT,8/19/2021 8:15,645,293.18,buy,currentHigh*0.97: 284.61740000000003, , nan ,nan
